s_id,r_id,o_id,confidence,source
100,1,2,1.0,extracted
100,4,17,1.0,extracted
100,2,71,1.0,extracted
100,4,95,1.0,extracted
100,2,18,1.0,extracted
100,2,6,1.0,extracted
100,2,7,1.0,extracted
102,0,103,1.0,extracted
102,4,17,1.0,extracted
102,4,104,1.0,extracted
102,2,18,1.0,extracted
102,2,6,1.0,extracted
102,2,7,1.0,extracted
105,0,106,1.0,extracted
105,4,17,1.0,extracted
105,4,104,1.0,extracted
105,2,18,1.0,extracted
105,2,6,1.0,extracted
105,2,7,1.0,extracted
107,0,108,1.0,extracted
107,1,2,1.0,extracted
107,4,17,1.0,extracted
107,2,6,1.0,extracted
109,0,110,1.0,extracted
109,1,2,1.0,extracted
109,4,17,1.0,extracted
109,2,6,1.0,extracted
111,0,112,1.0,extracted
111,1,2,1.0,extracted
111,2,3,1.0,extracted
111,2,6,1.0,extracted
111,2,7,1.0,extracted
113,0,114,1.0,extracted
113,1,2,1.0,extracted
113,2,3,1.0,extracted
113,2,6,1.0,extracted
113,2,7,1.0,extracted
115,0,116,1.0,extracted
115,1,2,1.0,extracted
115,2,3,1.0,extracted
115,2,27,1.0,extracted
115,2,6,1.0,extracted
115,2,7,1.0,extracted
117,0,118,1.0,extracted
117,1,2,1.0,extracted
117,2,3,1.0,extracted
117,2,27,1.0,extracted
117,2,6,1.0,extracted
117,2,7,1.0,extracted
119,0,120,1.0,extracted
119,1,2,1.0,extracted
119,2,3,1.0,extracted
119,2,18,1.0,extracted
119,2,7,1.0,extracted
119,2,121,1.0,extracted
122,0,123,1.0,extracted
122,1,2,1.0,extracted
122,2,3,1.0,extracted
122,2,18,1.0,extracted
122,2,7,1.0,extracted
122,2,121,1.0,extracted
124,0,125,1.0,extracted
124,1,2,1.0,extracted
124,3,4,1.0,extracted
124,2,6,1.0,extracted
124,3,8,1.0,extracted
126,0,127,1.0,extracted
126,1,2,1.0,extracted
126,3,4,1.0,extracted
126,2,6,1.0,extracted
126,3,8,1.0,extracted
128,0,129,1.0,extracted
128,2,3,1.0,extracted
128,2,130,1.0,extracted
128,2,18,1.0,extracted
131,0,132,1.0,extracted
131,2,3,1.0,extracted
131,2,130,1.0,extracted
131,2,18,1.0,extracted
133,0,134,1.0,extracted
133,1,2,1.0,extracted
133,2,19,1.0,extracted
135,0,136,1.0,extracted
135,1,2,1.0,extracted
135,2,19,1.0,extracted
137,0,138,1.0,extracted
137,1,2,1.0,extracted
137,2,3,1.0,extracted
137,2,71,1.0,extracted
137,2,6,1.0,extracted
137,2,7,1.0,extracted
139,0,140,1.0,extracted
139,1,2,1.0,extracted
139,2,3,1.0,extracted
139,2,71,1.0,extracted
139,2,6,1.0,extracted
139,2,7,1.0,extracted
141,0,142,1.0,extracted
141,1,2,1.0,extracted
141,3,4,1.0,extracted
141,2,7,1.0,extracted
141,3,8,1.0,extracted
141,2,41,1.0,extracted
143,0,144,1.0,extracted
143,1,2,1.0,extracted
143,2,3,1.0,extracted
143,2,5,1.0,extracted
143,2,6,1.0,extracted
143,2,7,1.0,extracted
143,3,8,1.0,extracted
145,0,146,1.0,extracted
145,1,2,1.0,extracted
145,2,3,1.0,extracted
145,2,5,1.0,extracted
145,2,6,1.0,extracted
145,2,7,1.0,extracted
145,3,8,1.0,extracted
147,0,148,1.0,extracted
147,1,2,1.0,extracted
147,4,40,1.0,extracted
149,0,150,1.0,extracted
149,1,2,1.0,extracted
149,2,3,1.0,extracted
149,2,6,1.0,extracted
149,2,7,1.0,extracted
151,0,152,1.0,extracted
151,1,2,1.0,extracted
151,2,3,1.0,extracted
151,2,6,1.0,extracted
151,2,7,1.0,extracted
153,0,154,1.0,extracted
153,1,2,1.0,extracted
153,4,28,1.0,extracted
155,0,156,1.0,extracted
155,1,2,1.0,extracted
155,4,28,1.0,extracted
157,0,158,1.0,extracted
157,1,2,1.0,extracted
157,4,40,1.0,extracted
157,2,121,1.0,extracted
159,0,160,1.0,extracted
159,1,2,1.0,extracted
159,2,3,1.0,extracted
159,2,6,1.0,extracted
159,2,161,1.0,extracted
159,2,7,1.0,extracted
162,0,163,1.0,extracted
162,1,2,1.0,extracted
162,2,3,1.0,extracted
162,2,6,1.0,extracted
162,2,161,1.0,extracted
162,2,7,1.0,extracted
164,0,165,1.0,extracted
164,1,2,1.0,extracted
164,2,3,1.0,extracted
